-- Logs begin at Tue 2014-11-18 04:29:31 UTC, end at Tue 2014-11-18 05:28:31 UTC. --
Nov 18 04:52:00 deis-2 systemd[1]: Starting deis-store-metadata...
Nov 18 04:52:00 deis-2 sh[1774]: Pulling repository deis/store-metadata
Nov 18 04:52:26 deis-2 sh[1774]: Status: Downloaded newer image for deis/store-metadata:v1.0.1
Nov 18 04:52:26 deis-2 systemd[1]: Started deis-store-metadata.
Nov 18 04:52:39 deis-2 sh[1988]: store-metadata: The Ceph filesystem hasn't been created. Trying to obtain the lock to set up...
Nov 18 04:52:40 deis-2 sh[1988]: Error:  100: Key not found (/deis/store/filesystemSetupLock) [4927]
Nov 18 04:52:40 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:52:46 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:52:51 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:52:56 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:53:01 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:53:06 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:53:11 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:53:16 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:53:21 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:53:26 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:53:31 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:53:36 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:53:41 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:53:46 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:53:51 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:53:56 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:54:01 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:54:06 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:54:11 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:54:16 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:54:21 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:54:26 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:54:31 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:54:36 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:54:41 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:54:46 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:54:51 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:54:56 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:55:01 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:55:06 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:55:11 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:55:16 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:55:21 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:55:26 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:55:31 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:55:36 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:55:41 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:55:46 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:55:51 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:55:56 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:56:01 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:56:06 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:56:11 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:56:16 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:56:21 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:56:26 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:56:31 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:56:36 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:56:41 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:56:46 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:56:51 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:56:56 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:57:01 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:57:06 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:57:11 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:57:16 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:57:21 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:57:26 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:57:31 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:57:36 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
